Ticker
A
AAL
AAPL
ABBV
ABT
ACGL
ACN
ADBE
ADI
ADM
ADP
ADSK
AEE
AEP
AES
AFL
AIG
AIZ
AJG
AKAM
ALB
ALL
ALLE
AMAT
AME
AMGN
AMP
AMT
AMZN
ANET
AOS
APD
APH
APTV
ARE
ATO
AVB
AVGO
AVY
AWK
AXP
AZO
BA
BAC
BALL
BAX
BBWI
BBY
BDX
BEN
BF-B
BG
BIIB
BIO
BK
BKNG
BLK
BMY
BR
BRK-B
BRO
BSX
BWA
BX
BXP
C
CAG
CAH
CB
CBOE
CBRE
CCI
CCL
CDNS
CDW
CE
CF
CFG
CHD
CHRW
CHTR
CINF
CL
CLX
CMA
CMCSA
CME
CMG
CMI
CMS
CNC
CNP
COF
COO
COP
COST
CPB
CPRT
CPT
CRM
CSCO
CSGP
CSX
CTAS
CTRA
CTSH
CVS
CVX
D
DAL
DD
DE
DG
DGX
DHI
DHR
DIS
DLR
DLTR
DOV
DPZ
DRI
DTE
DUK
DVA
DVN
DXCM
EA
EBAY
ECL
ED
EFX
EIX
EL
EMN
EMR
EOG
EQIX
EQR
EQT
ES
ESS
ETN
ETR
EW
EXC
EXPD
EXPE
EXR
F
FAST
FCX
FDS
FDX
FE
FFIV
FIS
FITB
FMC
FTNT
FTV
GD
GE
GEN
GILD
GIS
GL
GLW
GM
GOOGL
GPC
GPN
GRMN
GS
HAL
HAS
HBAN
HCA
HD
HIG
HLT
HOLX
HON
HPE
HPQ
HRL
HSIC
HST
HSY
HUBB
HUM
IBM
ICE
IDXX
IEX
IFF
ILMN
INCY
INTC
INTU
IP
IPG
IQV
IRM
ISRG
IT
ITW
IVZ
J
JBHT
JCI
JKHY
JNJ
JPM
K
KEY
KEYS
KHC
KIM
KLAC
KMB
KMI
KMX
KO
KR
L
LDOS
LEN
LH
LKQ
LLY
LMT
LNT
LOW
LRCX
LULU
LUV
LVS
LYB
MA
MAA
MAR
MAS
MCD
MCHP
MCK
MCO
MDLZ
MDT
MET
META
MGM
MHK
MKC
MLM
MMC
MMM
MNST
MO
MOS
MPC
MRK
MS
MSCI
MSFT
MSI
MTB
MTD
MU
NCLH
NDAQ
NDSN
NEE
NEM
NFLX
NI
NKE
NOC
NOW
NRG
NSC
NTAP
NTRS
NUE
NVDA
NVR
NWSA
NXPI
O
OKE
OMC
ON
ORCL
ORLY
OXY
PANW
PAYX
PCAR
PCG
PEG
PEP
PFE
PFG
PG
PGR
PH
PHM
PKG
PLD
PM
PNC
PNR
PNW
PPG
PPL
PRU
PSA
PSX
PTC
PWR
PYPL
QCOM
QRVO
RCL
REG
REGN
RF
RHI
RJF
RL
RMD
ROK
ROL
ROP
ROST
RSG
SBAC
SBUX
SCHW
SEE
SHW
SJM
SLB
SNA
SNPS
SO
SPG
SPGI
SRE
STLD
STT
STZ
SWK
SWKS
SYF
SYK
SYY
T
TAP
TDG
TEL
TER
TFX
TGT
TJX
TMO
TMUS
TPR
TRGP
TRMB
TROW
TRV
TSCO
TSLA
TSN
TT
TXN
TXT
UAL
UDR
UHS
ULTA
UNH
UNP
UPS
URI
VLO
VRSN
VTR
WRB
XOM
XRAY
