iter	Passed	Remaining
405	6626	9694
406	6641	9676
407	6656	9658
408	6672	9641
409	6686	9621
410	6700	9603
411	6714	9583
412	6731	9567
413	6745	9548
414	6760	9529
415	6775	9511
416	6788	9490
417	6802	9471
418	6815	9451
419	6831	9433
420	6846	9415
421	6862	9399
422	6875	9378
423	6889	9359
424	6905	9342
425	6918	9322
426	6933	9303
427	6946	9284
428	6961	9265
429	6975	9246
430	6989	9227
431	7002	9207
432	7018	9189
433	7044	9186
434	7060	9170
435	7075	9152
436	7091	9135
437	7104	9115
438	7119	9097
439	7132	9077
440	7146	9058
441	7161	9041
442	7175	9021
443	7189	9003
444	7203	8983
445	7226	8975
446	7240	8956
447	7254	8938
448	7269	8921
449	7284	8903
450	7308	8896
451	7341	8900
452	7369	8898
453	7400	8900
454	7442	8914
455	7469	8910
456	7491	8901
457	7533	8915
458	7555	8905
459	7570	8887
460	7586	8870
461	7600	8851
462	7625	8843
463	7657	8845
464	7673	8828
465	7707	8831
466	7742	8836
467	7779	8843
468	7809	8842
469	7825	8823
470	7841	8806
471	7856	8788
472	7871	8770
473	7885	8751
474	7913	8746
475	7950	8752
476	7978	8748
477	8016	8754
478	8051	8757
479	8090	8764
480	8135	8777
481	8191	8803
482	8236	8816
483	8271	8818
484	8309	8823
485	8348	8829
486	8397	8846
487	8438	8854
488	8476	8857
489	8495	8842
490	8521	8834
491	8544	8822
492	8583	8827
493	8654	8864
494	8698	8874
495	8746	8887
496	8811	8917
497	8868	8939
498	8934	8969
499	9007	9007
500	9056	9019
501	9095	9022
502	9127	9018
503	9166	9021
504	9194	9012
505	9223	9004
506	9240	8985
507	9257	8965
508	9278	8950
509	9293	8928
510	9307	8906
511	9323	8886
512	9338	8865
513	9354	8844
514	9368	8822
515	9389	8807
516	9410	8792
517	9425	8770
518	9440	8749
519	9455	8728
520	9470	8707
521	9485	8686
522	9501	8665
523	9516	8644
524	9529	8621
525	9545	8601
526	9577	8595
527	9611	8592
528	9628	8572
529	9641	8550
530	9658	8530
531	9672	8509
532	9687	8487
533	9702	8466
534	9717	8446
535	9733	8426
536	9748	8405
537	9762	8383
538	9777	8362
539	9791	8340
540	9804	8318
541	9820	8298
542	9836	8278
543	9857	8262
544	9891	8258
545	9906	8237
546	9935	8227
547	9971	8224
548	10003	8218
549	10037	8212
550	10053	8192
551	10066	8170
552	10080	8148
553	10095	8127
554	10108	8105
555	10124	8084
556	10138	8063
557	10152	8041
558	10167	8021
559	10197	8012
560	10220	7998
561	10241	7981
562	10261	7964
563	10275	7943
564	10289	7922
565	10305	7902
566	10320	7881
567	10335	7861
568	10349	7839
569	10365	7819
570	10381	7799
571	10396	7779
572	10411	7758
573	10426	7737
574	10440	7716
575	10454	7695
576	10469	7675
577	10484	7654
578	10520	7649
579	10543	7634
580	10559	7614
581	10587	7604
582	10625	7599
583	10661	7594
584	10697	7588
585	10726	7577
586	10761	7571
