iter	RMSE
0	2.010498628
1	1.856183404
2	1.716178519
3	1.588847034
4	1.47676357
5	1.372420828
6	1.278865278
7	1.193374137
8	1.116627289
9	1.048511764
10	0.9828158367
11	0.9234936616
12	0.8710972109
13	0.8233127639
14	0.7784774246
15	0.7400585156
16	0.7008278283
17	0.669879401
18	0.6391020527
19	0.6113160519
20	0.5881711056
21	0.5640242883
22	0.5400924161
23	0.5199588859
24	0.5043165063
25	0.4863658415
26	0.4745486148
27	0.4599156561
28	0.4481214852
29	0.436687626
30	0.424837621
31	0.4147763391
32	0.4071977215
33	0.3969161009
34	0.3878805813
35	0.3790047245
36	0.3698855157
37	0.3646822512
38	0.3604626286
39	0.3523457033
40	0.3462651716
41	0.341373892
42	0.3358901317
43	0.3314690885
44	0.3286758925
45	0.3261579106
46	0.3230132616
47	0.3189897829
48	0.3155957105
49	0.3081594598
50	0.3051510303
51	0.3002452757
52	0.2972470539
53	0.2949233998
54	0.2920664532
55	0.288885634
56	0.2871868329
57	0.2830346337
58	0.2814319683
59	0.2791283995
60	0.2771063709
61	0.2745633848
62	0.2729366426
63	0.2712950089
64	0.269149756
65	0.2680692358
66	0.2663833688
67	0.2649957115
68	0.2628879355
69	0.2615895519
70	0.2592636566
71	0.2564870318
72	0.25551086
73	0.253852125
74	0.2519928549
75	0.2506996488
76	0.2494623051
77	0.2480803965
78	0.2457030667
79	0.2433782752
80	0.2417702505
81	0.240600229
82	0.23969072
83	0.2378406839
84	0.2363199956
85	0.2348624239
86	0.2326070831
87	0.2315895685
88	0.2299786474
89	0.2289076142
90	0.2273979008
91	0.2262568675
92	0.224963434
93	0.2237159651
94	0.2230064773
95	0.2222417243
96	0.2215880365
97	0.2206117418
98	0.2183513871
99	0.217259679
100	0.2157891581
101	0.2151879278
102	0.2143080751
103	0.2125917981
104	0.2116163656
105	0.2103541154
106	0.2090799426
107	0.2081206673
108	0.2070979236
109	0.2065590066
110	0.2056962991
111	0.203689048
112	0.2029267258
113	0.2020851579
114	0.2007586949
115	0.2001144187
116	0.199728313
117	0.1990451014
118	0.1980554453
119	0.1973349782
120	0.1964050993
121	0.1953010934
122	0.1943538359
123	0.1932817877
124	0.1926429929
125	0.1918916848
126	0.1913721064
127	0.1903157672
128	0.1895794133
129	0.1891740065
130	0.1882222082
131	0.1873509588
132	0.1863094371
133	0.1858105963
134	0.1854496711
135	0.1849908617
136	0.1842075782
137	0.1837237345
138	0.1830595697
139	0.1825224165
140	0.1817560223
141	0.1812359906
142	0.1805191712
143	0.1802221042
144	0.1793914449
145	0.1790810642
146	0.1785663205
147	0.1778813659
148	0.1773371125
149	0.1768993549
150	0.1757462121
151	0.1753536383
152	0.1749180596
153	0.1745554186
154	0.1740168213
155	0.1706438734
156	0.1697710646
157	0.1688352747
